SP0,FL0,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,DP0,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,DP23,DP24,DP25,DP26,DP27,DP28,DP29
32389.9,3005.7,33138.6,72048.2,31926.8,11399.8,86670.0,52309.3,61131.2,40581.2,2044.3,0.0,27900.9,8492.2,24030.9,31562.9,34443.6,32262.1,31799.2,54192.5,68851.9,31957.4,37081.5,31711.6,6029.6,22754.3,5399.3,27937.7,15630.1,62498.1,35677.7,64171.2,22994.0,32232.5,13280.9,4247.8,52230.6,37318.0,56343.6,3103.2,33971.3,59536.9,31738.3,49640.4,8446.3,10223.9,61415.6,33983.2,24008.5,13797.2,38361.0
10554.5,30965.0,11303.2,44200.8,10091.4,39359.1,58822.6,24461.9,33283.8,12834.0,26703.0,28448.8,0.0,22121.2,6255.7,9727.5,6696.4,10426.7,9963.8,26345.1,41004.5,10122.0,9334.3,9876.2,27883.1,8791.8,27662.0,192.7,16277.1,34650.7,7830.3,36323.8,5257.6,10397.1,22477.0,24314.1,24383.2,9470.6,28496.2,25365.9,12135.9,31689.5,9902.9,21793.0,22214.2,18740.8,33568.2,12147.8,15316.8,19543.8,10513.6
26057.7,11207.2,26806.4,65716.0,25594.6,19601.3,80337.8,45977.1,54799.0,34249.0,6945.2,8691.0,21568.7,0.0,17698.7,25230.7,28111.4,25929.9,25467.0,47860.3,62519.7,25625.2,30749.3,25379.4,8125.3,16422.1,7904.2,21605.5,9297.9,56165.9,29345.5,57839.0,16661.8,25900.3,6948.7,4556.3,45898.4,30985.8,50011.4,5608.1,27639.1,53204.7,25406.1,43308.2,115.8,3891.7,55083.4,27651.0,17676.3,6916.8,32028.8
10020.7,26803.3,10769.4,50117.7,9557.6,35197.4,64739.5,30378.8,39200.7,18650.7,22541.3,24287.1,5970.4,17959.5,0.0,9193.7,12513.1,9892.9,9430.0,32262.0,46921.4,9588.2,15151.0,9342.4,23721.4,4630.1,23500.3,6007.2,12115.4,40567.6,13747.2,42240.7,1095.9,9863.3,18315.3,20152.4,30300.1,15387.5,34413.1,21204.2,11602.1,37606.4,9369.1,27709.9,18052.5,14579.1,39485.1,11614.0,11155.1,15382.1,16430.5
1003.0,34543.7,1751.7,54692.2,927.6,42937.8,69314.0,34953.3,43775.2,18586.3,30281.7,32027.5,10824.1,25699.9,9398.5,0.0,12448.7,875.2,649.3,36836.5,51495.9,697.3,15086.6,219.7,31461.8,12370.5,31240.7,10862.6,19855.8,45142.1,18321.7,46815.2,8836.3,845.6,26055.7,27892.8,34874.6,19962.0,38987.6,28944.6,2584.4,42180.9,856.3,32284.4,25792.9,22319.5,44059.6,2596.3,18895.5,23122.5,21005.0
12206.0,37448.5,12954.7,50594.8,11742.9,45842.6,65216.6,30855.9,39677.8,13485.8,33186.5,34932.3,6726.7,28604.7,12739.2,11379.0,0.0,12078.2,11615.3,32739.1,47398.5,11773.5,9986.1,11527.7,34366.6,15275.3,34145.5,6765.2,22760.6,41044.7,14224.3,42717.8,11741.1,12048.6,28960.5,30797.6,30777.2,15864.6,34890.2,31849.4,13787.4,38083.5,11554.4,28187.0,28697.7,25224.3,39962.2,13799.3,21800.3,26027.3,16907.6
983.2,35281.2,1032.1,55429.7,1096.6,43675.3,70051.5,35690.8,44512.7,19323.8,31019.2,32765.0,11561.6,26437.4,10136.0,921.8,13186.2,0.0,1239.8,37574.0,52233.4,1151.3,15824.1,1031.8,32199.3,13108.0,31978.2,11600.1,20593.3,45879.6,19059.2,47552.7,9573.8,407.8,26793.2,28630.3,35612.1,20699.5,39725.1,29682.1,1864.8,42918.4,1593.8,33021.9,26530.4,23057.0,44797.1,1876.7,19633.0,23860.0,21742.5
1280.6,34784.0,2029.3,54932.5,289.1,43178.1,69554.3,35193.6,44015.5,18826.6,30522.0,32267.8,11064.4,25940.2,9638.8,746.7,12689.0,1152.8,0.0,37076.8,51736.2,206.5,15326.9,701.2,31702.1,12610.8,31481.0,11102.9,20096.1,45382.4,18562.0,47055.5,9076.6,1123.2,26296.0,28133.1,35114.9,20202.3,39227.9,29184.9,2862.0,42421.2,1204.9,32524.7,26033.2,22559.8,44299.9,2873.9,19135.8,23362.8,21245.3
36531.8,57231.7,37280.5,49798.9,36068.7,65625.8,64420.7,6286.7,38881.9,24878.2,52969.7,54715.5,26316.2,48387.9,32522.4,35704.8,32673.7,36404.0,35941.1,0.0,46602.6,36099.3,28516.9,35853.5,54149.8,35058.5,53928.7,26508.9,42543.8,40248.8,18509.2,41921.9,31524.3,36374.4,48743.7,50580.8,29981.3,20788.6,34094.3,51632.6,38113.2,37287.6,35880.2,24399.2,48480.9,45007.5,39166.3,38125.1,41583.5,45810.5,19925.4
51186.7,71886.6,51935.4,5844.9,50723.6,80280.7,50050.4,39545.9,28038.1,40916.0,67624.6,69370.4,40971.1,63042.8,47177.3,50359.7,47328.6,51058.9,50596.0,44080.1,0.0,50754.2,44554.7,50508.4,68804.7,49713.4,68583.6,41163.8,57198.7,29405.0,33164.1,31078.1,46179.2,51029.3,63398.6,65235.7,19176.4,35443.5,23250.5,66287.5,52768.1,26443.8,50535.1,24602.2,63135.8,59662.4,7493.4,52780.0,56238.4,60465.4,36124.9
