commercial,1
cotton suppliers,1
puja samagari,1
training,1
Water Tank,1
road,1
ground,1
Armed Police Force,1
kitchen item shop,1
sports,1
heal_post,1
Military,1
plastic pasal,1
fitness,1
buspark,1
tillar,1
nightclub ,1
agricultur place,1
bastra vandar,1
office;restaurant,1
rental,1
watar well,1
craft,1
super Market,1
bag,1
animal_shelter,1
Vechicles Parking,1
Khansi Bhajan,1
Transport,1
party place,1
Pre- School,1
forest,1
Ward Office,1
agriculture form,1
janjoti adarvut school,1
chautari,1
meditation_centre,1
garbage place,1
bhajan ghar,1
pulic_office,1
FM station,1
register_office,1
petrol station,1
doctor,1
training centre,1
Vechicles_parking,1
Agriculture Bank,1
nursery,1
grinder,1
Post Offie,1
apartments,1
dalit basti,1
public tank,1
atm;bank,1
Dev Ghar Public Building,1
bread,1
conference hall,1
fm_station,1
Factory,1
Mandali block Udyog,1
boos shop,1
satellite-receiver,1
menroad,1
retirement_house,1
landless community,1
laboratory,1
tuision center,1
Auto Parts Distributors,1
dumping site,1
Church,1
holsel,1
money_exchange,1
administrative,1
unused land,1
party palace,1
karagar,1
National Life Insurance Company Limited,1
decoretion,1
Social Club,1
hotel,1
free family planning,1
fresh house,1
Elderly People Care Center,1
fancy,1
school/collage,1
farnichdr,1
industrial,1
place,1
Medical,1
smoking_room,1
puja shop,1
residential & cowshed,1
public offic,1
land used,1
home,1
Bus Park,1
