SP0,FL0,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,DP0,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17
1129.3,34544.6,1756.5,54690.7,927.6,42938.7,69312.5,34951.8,43773.7,18584.7,30282.6,32028.4,10822.6,25700.8,9399.4,0.0,12447.2,880.0,649.3,36835.0,51494.4,736.2,31316.7,246.7,14337.8,12698.8,31662.9,10835.9,19798.5,46727.3,1082.2,18431.7,9061.8,45396.2,34885.5,25769.4,31986.4,19960.5,907.3
12331.9,37448.5,12959.1,50594.8,11742.5,45842.6,65216.6,30855.9,39677.8,13485.7,33186.5,34932.3,6726.7,28604.7,12739.2,11378.6,0.0,12082.6,11614.9,32739.1,47398.5,11620.0,34220.6,11553.6,9238.8,15602.7,34566.8,6740.0,22702.4,42631.4,12284.8,14335.8,11965.7,41300.3,30789.6,28673.3,34890.3,15864.6,12109.9
1104.7,35282.1,1032.1,55428.2,1103.7,43676.2,70050.0,35689.3,44511.2,19322.2,31020.1,32765.9,11560.1,26438.3,10136.9,921.8,13184.7,0.0,1233.0,37572.5,52231.9,1353.1,32054.2,960.3,15075.3,13436.3,32400.4,11573.4,20536.0,47464.8,357.8,19169.2,9799.3,46133.7,35623.0,26506.9,32723.9,20698.0,452.3
1439.6,34784.9,2066.8,54931.0,289.1,43179.0,69552.8,35192.1,44014.0,18825.0,30522.9,32268.7,11062.9,25941.1,9639.7,746.7,12687.5,1190.3,0.0,37075.3,51734.7,188.8,31557.0,579.9,14578.1,12939.1,31903.2,11076.2,20038.8,46967.6,1392.5,18672.0,9302.1,45636.5,35125.8,26009.7,32226.7,20200.8,1217.6
36657.7,57231.7,37284.9,49798.9,36068.3,65625.8,64420.7,6286.7,38881.9,24878.2,52969.7,54715.5,26316.2,48387.9,32522.4,35704.4,32673.7,36408.4,35940.7,0.0,46602.6,35945.8,54003.8,35879.4,27769.7,35385.9,54350.0,26523.2,42485.6,41835.5,36610.6,18680.3,31748.9,40504.4,29993.7,48456.5,54673.5,20788.6,36435.7
51312.6,71886.6,51939.8,5844.9,50723.2,80280.7,50050.4,39545.9,28038.1,40916.0,67624.6,69370.4,40971.1,63042.8,47177.3,50359.3,47328.6,51063.3,50595.6,44080.1,0.0,50600.7,68658.7,50534.3,43807.5,50040.8,69004.9,41178.1,57140.5,30991.7,51265.5,33335.2,46403.8,29660.6,19188.8,63111.4,69328.4,35443.5,51090.6
1531.2,34797.6,2158.4,54943.7,486.7,43191.7,69565.5,35204.8,44026.7,18837.7,30535.6,32281.4,11075.6,25953.8,9652.4,838.3,12700.2,1281.9,208.4,37088.0,51747.4,0.0,31569.7,671.5,14590.8,12951.8,31915.9,11088.9,20051.5,46980.3,1484.1,18684.7,9314.8,45649.2,35138.5,26022.4,32239.4,20213.5,1309.2
31800.3,8403.7,32427.5,71331.8,31210.9,16797.8,85953.6,51592.9,60414.8,39864.7,4141.7,5887.5,27184.5,7775.8,23314.5,30847.0,33727.2,31551.0,31083.3,53476.1,68135.5,31088.4,0.0,31022.0,35617.8,22365.3,5522.0,27088.4,14855.5,63368.4,31753.2,35072.8,22225.7,62037.3,51526.6,12277.3,5845.5,36601.6,31578.3
1170.0,34719.2,1797.2,54865.3,772.2,43113.3,69487.1,35126.4,43948.3,18759.3,30457.2,32203.0,10997.2,25875.4,9574.0,249.1,12621.8,920.7,493.9,37009.6,51669.0,580.8,31491.3,0.0,14512.4,12873.4,31837.5,11010.5,19973.1,46901.9,1122.9,18606.3,9236.4,45570.8,35060.1,25944.0,32161.0,20135.1,948.0
14227.4,39344.0,14854.6,47002.8,13638.0,47738.1,61624.6,25885.0,36085.8,4583.4,35082.0,36827.8,8622.2,30500.2,14634.7,13274.1,9237.5,13978.1,13510.4,27768.2,43806.5,13515.5,36116.1,13449.1,0.0,17498.2,36462.3,8635.5,24597.9,39039.4,14180.3,10743.8,13861.2,37708.3,27197.6,30568.8,36785.8,12627.2,14005.4
