,SP0,FL0,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,DP0,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17
FL15,17837.5,24885.8,31427.3,29263.0,27553.4,28154.7,32831.0,52853.1,58782.1,9188.7,39736.6,44183.8,32816.2,18524.0,21801.5,60882.4,0.0,30470.5,24487.7,40299.8,53906.9,17125.6,39726.2,17059.2,12568.6,21108.4,40072.4,12245.6,28208.0,48137.0,17790.4,19841.4,17471.3,46805.9,36295.2,34178.9,40395.9,21370.2,17615.5
FL16,21114.7,39186.6,39662.8,40384.9,38675.3,36390.2,47131.8,34623.1,67017.6,32082.7,50858.5,55305.7,41051.7,26759.5,32923.4,42652.4,30495.2,0.0,37806.0,51421.7,65028.8,20402.8,47961.7,20336.4,26869.4,29343.9,48307.9,23367.5,36443.5,59258.9,21067.6,30963.3,25706.8,57927.8,47417.1,42414.4,48631.4,32492.1,20892.7
FL17,25110.8,19744.9,34158.0,16779.9,17132.4,28555.9,27690.1,60126.4,61512.8,26105.3,27253.5,31700.7,35546.9,21254.7,13137.1,68155.7,24517.8,37743.8,0.0,27816.7,41423.8,24398.9,42456.9,24332.5,12271.1,23839.1,42803.1,14976.3,30938.7,35653.9,25063.7,7358.3,20202.0,34322.8,23812.1,36909.6,43126.6,9241.7,24888.8
FL18,39273.4,44026.0,48320.6,15547.7,23950.8,38853.7,51971.2,74289.0,75675.4,42393.3,4362.3,18097.1,49709.5,35417.3,24344.3,82318.3,40805.8,51906.4,28356.6,0.0,25417.3,38561.5,55035.7,38495.1,31768.3,37595.5,56965.7,29138.9,43498.6,19647.4,39226.3,21296.0,34364.6,17077.7,5619.6,51072.2,57289.2,22853.1,39051.4
FL19,52324.3,57076.9,61371.5,27930.1,41607.8,55769.4,65022.1,87339.9,88726.3,55444.2,24859.4,35941.1,62760.4,48468.2,40350.6,95369.2,53856.7,64957.3,41407.5,25422.6,0.0,51612.4,69670.4,51546.0,44819.2,51052.6,70016.6,42189.8,58152.2,32003.4,52277.2,34346.9,47415.5,30672.3,20200.5,64123.1,70340.1,36455.2,52102.3
DP0,1531.2,26908.0,23270.8,28106.3,26396.7,19998.2,34853.2,43381.3,50625.6,19804.1,38579.9,43027.1,24659.7,10367.5,20644.8,51410.6,18216.6,20998.7,25527.4,39143.1,52750.2,0.0,31569.7,671.5,14590.8,12951.9,31915.9,11088.9,20051.5,46980.3,1484.1,18684.7,9314.8,45649.2,35138.5,26022.4,32239.4,20213.5,1309.2
DP1,31800.3,47935.0,10187.3,44494.4,31522.5,29411.7,55880.2,70395.2,24231.7,40831.1,54128.5,53933.0,6910.0,23176.5,36142.2,78424.5,39243.6,48012.6,41915.5,54691.7,69138.3,31088.4,0.0,31022.0,35617.8,22365.4,5522.0,27088.4,14855.5,63368.4,31753.2,35072.8,22225.7,62037.3,51526.6,12277.3,5845.5,36601.6,31578.3
DP2,1170.0,26829.6,23192.4,28027.9,26318.3,19919.8,34774.8,43778.2,50547.2,19725.7,38501.5,42948.7,24581.3,10289.1,20566.4,51807.5,18138.2,21395.6,25449.0,39064.7,52671.8,580.8,31491.3,0.0,14512.4,12873.5,31837.5,11010.5,19973.1,46901.9,1122.9,18606.3,9236.4,45570.8,35060.1,25944.0,32161.0,20135.1,948.0
DP3,14227.4,12516.8,27817.2,20165.4,20517.9,24544.6,20462.0,49243.0,55172.0,14165.0,30639.0,35086.2,29206.1,14913.9,16522.6,57272.3,12577.5,26860.4,12255.6,31202.2,44809.3,13515.5,36116.1,13449.1,0.0,17498.3,36462.3,8635.5,24597.9,39039.4,14180.3,10743.8,13861.2,37708.3,27197.6,30568.8,36785.8,12627.2,14005.4
DP4,13443.6,29578.3,14328.0,26137.7,16649.1,9140.0,37523.5,52038.5,41682.8,22474.4,36611.3,37868.7,15716.9,4819.8,18676.2,60067.8,20886.9,29655.9,23558.8,37174.5,50781.6,12731.7,22626.9,12665.3,17261.1,0.0,22973.1,8731.7,11108.7,45011.7,13396.5,16716.1,3869.0,43680.6,33169.9,17079.6,23296.6,18244.9,13221.6
DP5,32160.0,48294.7,10547.0,44854.1,34143.2,29771.4,56239.9,70754.9,20146.0,41190.8,55327.7,56553.7,7269.7,23536.2,37392.6,78784.2,39603.3,48372.3,42275.2,55890.9,69498.0,31448.1,5526.9,31381.7,35977.5,22725.1,0.0,27448.1,15215.2,63728.1,32112.9,35432.5,22585.4,62397.0,51886.3,12312.0,5780.5,36961.3,31938.0
DP6,10724.0,20947.8,19289.3,17507.2,15797.6,16016.7,28893.0,45739.6,46644.1,13843.9,27980.8,32428.0,20678.2,6386.0,10045.7,53768.9,12256.4,23357.0,14928.3,28544.0,42151.1,10012.1,27588.2,9945.7,8630.6,8970.4,27934.4,0.0,16070.0,36381.2,10676.9,8085.6,5333.3,35050.1,24539.4,22040.9,28257.9,9614.4,10502.0
DP7,20254.4,36389.1,6542.4,32948.5,20737.6,17865.8,44334.3,58849.3,33897.2,29285.2,43422.1,43416.1,7931.3,11630.6,25487.0,66878.6,27697.7,36466.7,30369.6,43985.3,57592.4,19542.5,14841.3,19476.1,24071.9,10819.5,15187.5,15542.5,0.0,51822.5,20207.3,23526.9,10679.8,50491.4,39980.7,9294.0,15511.0,25055.7,20032.4
DP8,46551.8,51304.4,55599.0,22157.6,35835.3,49996.9,59249.6,81567.4,82953.8,49671.7,18960.2,21836.0,56987.9,42695.7,34578.1,89596.7,48084.2,59184.8,35635.0,19650.1,31991.2,45839.9,63897.9,45773.5,39046.7,45280.1,64244.1,36417.3,52379.7,0.0,46504.7,28574.4,41643.0,5060.0,14428.0,58350.6,64567.6,30682.7,46329.8
DP9,1266.0,27553.8,23916.6,28752.1,27042.5,20644.0,35499.0,44180.6,51271.4,20449.9,39225.7,43672.9,25305.5,11013.3,21290.6,52209.9,18862.4,21798.0,26173.2,39788.9,53396.0,1514.4,32215.5,1121.6,15236.6,13597.7,32561.7,11734.7,20697.3,47626.1,0.0,19330.5,9960.6,46295.0,35784.3,26668.2,32885.2,20859.3,613.6
DP10,18248.2,23000.8,27295.4,9705.9,10269.8,21693.3,30946.0,53263.8,54650.2,21368.1,20179.5,24626.7,28684.3,14392.1,6274.5,61293.1,19780.6,30881.2,7331.4,20742.7,34349.8,17536.3,35594.3,17469.9,10743.1,16976.5,35940.5,8113.7,24076.1,28579.9,18201.1,0.0,13339.4,27248.8,16738.1,30047.0,36264.0,2379.1,18026.2
DP11,9805.7,25940.4,14193.6,22499.8,19676.2,10921.0,33885.6,48400.6,41548.4,18836.5,32973.4,37420.6,15582.5,1144.8,15038.3,56429.9,17249.0,26018.0,19920.9,33536.6,47143.7,9093.8,22492.5,9027.4,13623.2,3874.7,22838.7,5093.8,10974.3,41373.8,9758.6,13078.2,0.0,40042.7,29532.0,16945.2,23162.2,14607.0,9583.7
DP12,45227.9,49980.5,54275.1,20833.7,34511.4,48673.0,57925.7,80243.5,81629.9,48347.8,15092.4,20496.9,55664.0,41371.8,33254.2,88272.8,46760.3,57860.9,34311.1,17064.4,30667.3,44516.0,62574.0,44449.6,37722.8,43956.2,62920.2,35093.4,51055.8,5061.3,45180.8,27250.5,40319.1,0.0,13104.1,57026.7,63243.7,29358.8,45005.9
DP13,34665.3,39417.9,43712.5,10271.1,22025.0,36927.9,47363.1,69680.9,71067.3,37785.2,5089.6,16171.3,45101.4,30809.2,22418.5,77710.2,36197.7,47298.3,23748.5,5652.8,20140.7,33953.4,52011.4,33887.0,27160.2,33393.6,52357.6,24530.8,40493.2,14370.8,34618.2,16687.9,29756.5,13039.7,0.0,46464.1,52681.1,18796.2,34443.3
DP14,26246.4,42381.1,3499.5,38940.5,29805.7,23857.8,50326.3,64841.3,31325.6,35277.2,49414.1,52484.2,5359.7,17622.6,31479.0,72870.6,33689.7,42458.7,36361.6,49977.3,63584.4,25534.5,12269.7,25468.1,30063.9,16811.5,12314.4,21534.5,9301.6,57814.5,26199.3,29518.9,16671.8,56483.4,45972.7,0.0,12939.4,31047.7,26024.4
DP15,32472.5,48607.2,10859.5,45166.6,34455.7,30083.9,56552.4,71067.4,24486.1,41503.3,55640.2,56866.2,7582.2,23848.7,37705.1,79096.7,39915.8,48684.8,42587.7,56203.4,69810.5,31760.6,5839.4,31694.2,36290.0,23037.6,5776.4,27760.6,15527.7,64040.6,32425.4,35745.0,22897.9,62709.5,52198.8,12949.5,0.0,37273.8,32250.5
DP16,19496.0,24436.3,28543.2,11345.8,8230.9,22646.3,32381.5,54511.6,55898.0,22615.9,21819.4,25126.6,29932.1,15639.9,6204.3,62540.9,21028.4,32129.0,8766.9,22382.6,35989.7,18784.1,36842.1,18717.7,12178.6,18224.3,37188.3,9361.5,25323.9,30219.8,19448.9,1924.2,14587.2,28888.7,18378.0,31294.8,37511.8,0.0,19274.0
DP17,1068.6,27356.4,23719.2,28554.7,26845.1,20446.6,35301.6,43983.2,51074.0,20252.5,39028.3,43475.5,25108.1,10815.9,21093.2,52012.5,18665.0,21600.6,25975.8,39591.5,53198.6,1317.0,32018.1,924.2,15039.2,13400.3,32364.3,11537.3,20499.9,47428.7,604.4,19133.1,9763.2,46097.6,35586.9,26470.8,32687.8,20661.9,0.0
