longitude,latitude
87.9908844,26.6849931
85.5237477,27.6296267
81.8383173,28.806299
85.3305038,27.7177784
87.9266972,26.9091887
80.8017476,29.5688362
83.037786,28.169185
80.5532168,28.8116311
83.7496382,28.0475418
87.4493976,26.6525245
87.7031023,26.6712262
84.4315012,27.6814028
86.742803,26.5380402
85.0792469,27.4419931
85.309812,27.6699428
84.6281275,27.9946583
85.4037681,27.6744263
85.3147438,27.711016
83.17835,28.18547
81.6880453,28.7536724
