,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
3,286702.65209288936,20.0,5804.882695787239,46428.26500395354
7,1205448.7773478285,18.0,5123.185923759753,44847.17804
9,1441162.2487203407,16.0,3328.269608263754,46428.26500395354
12,1581868.3096789834,13.0,2211.8469385198223,46428.26500395354
