,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
9,1798402.5462780164,3.0,2024.4637662988753,25025.493354202205,353413632.32933265,96.386640324007,531037703317.1136,4111216.5507710096
12,1559792.5570058883,2.0,3336.863050640337,25025.493354202205,353413632.32933265,95.11357564169009,538560095662.3792,6040508.28000579
13,134292.22202973254,9.0,7100.9378214241915,25025.493354202205,353413632.32933265,110.95935256040259,104224413407.15572,9422817.423258862
19,101319.77879920788,8.0,7240.0890532876365,7047.918593347531,146212130.5560309,114.90523293329397,102443834735.30379,10955588.586797573
