,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,158338.44508925412,9.0,7824.935312006473,15355.466253654522,247305047.6942321,105.11199847727939,78434538281.61072,12398146.998338671
12,3355115.8462906796,6.0,15073.049046718836,15355.466253654522,353423773.5674157,172.45657201404885,1263319802289.1292,60581015.39806628
19,2001961.0647778297,8.0,15797.216618301158,18984.449185428617,220431771.8114967,198.12500825941393,560055977421.3085,77776834.0406882
