,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,785474.9571917304,6.0,6083.744222733003,26939.585653471397,353391340.0297691,103.73900761667988,146584157530.8279,10289867.618146785
9,1634245.9080725994,3.0,2007.5340015061956,48317.435736486776,615516039.5367264,86.07305333940161,363714548044.2706,5219166.521226896
11,37821.90959064962,9.0,7561.598807273473,48317.435736486776,615516039.5367264,86.84161955616224,37861452626.45442,12989529.51822446
12,1429874.4344123525,2.0,3349.242508205294,48317.435736486776,615516039.5367264,88.94790401035357,397018176443.1711,7817292.79929374
19,108072.53045923344,8.0,7427.18474486392,5993.090544206214,165807926.84501675,101.34861744996635,48573105718.908134,13377451.745304003
