,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,1229.6571374870255,10.0,7587.012784927609,23082.48290789163,175100809.50773305,103.7515922919342,19250853893.085346,18196290.299317762
7,807808.4776045097,6.0,5809.6024966879395,23082.48290789163,182500216.61136654,119.82565499170926,97858146723.35445,14165032.447201503
8,222742.06239521856,10.0,7059.471660180778,23082.48290789163,175100809.50773305,98.04391249671376,27174024204.05965,15984161.489091836
9,1579786.0130854081,3.0,1871.3464723007237,7102.728907999095,184346650.1333804,112.30126066575131,315218253137.9458,8456987.274650078
12,1643003.3455565893,2.0,3781.58458543121,7102.728907999095,184346650.1333804,112.75786898162201,324948411323.7059,11437192.240503257
13,236743.17829178122,8.0,6568.2199693893745,8038.413127846543,168065037.02465007,113.84969932013547,37183832515.640236,14416682.969554756
