,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
9,1755160.8451842237,3.0,1917.3664342297343,24560.03167371948,353344710.9311742,96.38551110450466,507424888242.612,4715486.639074235
12,1526615.3279857947,2.0,3476.115606391664,24560.03167371948,353344710.9311742,94.95939098949391,520606461422.8031,7045121.44714905
13,120415.83135976992,9.0,7486.538957628927,24560.03167371948,353344710.9311742,110.98708907588153,100360872247.54007,10593706.185826257
19,123842.62132170529,8.0,7280.90534203815,7354.678719814721,152071539.1416318,115.01451265224789,99413761092.64415,12385919.685308233
