,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,1004004.3484349137,6.0,5475.729764812229,27149.347211102868,458278400.8439331,109.52521278515493,136892728252.11163,11949730.95347637
8,165981.21561377295,9.0,7444.362145005634,50369.037016288494,848935802.8796165,82.60340761170117,33646642587.543438,14296043.05823336
9,1556466.0541010322,3.0,2007.0609064535674,50498.58785101806,851044919.8911096,98.76141494418677,296545861033.2767,7299538.237434377
12,1521657.1639472332,2.0,3952.1988675899247,50498.58785101806,851044919.8911096,101.47973585763943,301280713656.3105,10165394.562460814
13,145409.18497377844,9.0,6929.37273895599,50498.58785101806,851044919.8911096,99.69460587376525,34725322182.706955,13490368.3219158
19,151281.247585184,8.0,7278.009827541395,10575.811030735073,170345473.64079028,104.12995959774716,37344834493.338455,15476136.628050793
