,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,0.0,10.0,7359.785050594666,34051.17924440521,190638274.74068573,111.83711432978802,55217040658.46523,15480409.173431948
8,264819.05732995446,7.0,6518.270473879988,34051.17924440521,190638274.74068573,115.01444053877096,89437690914.164,12994865.247644432
9,1849960.5027481385,3.0,2099.4382148563855,2064.147238469759,36658622.56687863,108.92751089987958,444606450737.5128,7032391.5576005
11,375117.4381313567,6.0,6269.247069755249,27093.784048364843,154641479.15611327,115.04308113799911,102961899340.35263,11861865.190864325
12,1493378.2319171259,2.0,3525.1940853126434,0.0,36685729.61333992,106.9273709408733,436771141254.7438,9560620.306666082
13,377902.56245572516,8.0,6268.390487318713,19008.90165116333,115519496.18510576,122.33680029010957,97725452263.41162,11815053.574446836
