,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,57991.35731595708,6.0,3384.7577984440322,39338.79730427759,353409978.14250857,106.15717097985434,558344428811.2623,7500748.526734886
8,288940.74973817915,2.0,1800.6347356021397,39338.79730427759,353409978.14250857,100.21414217631819,657399189589.6442,5830477.344536845
11,370333.8331046987,1.0,1047.331251388503,39338.79730427759,353409978.14250857,96.38084884820908,674634468121.7734,4965712.212516953
13,236474.58889842755,4.0,1903.2857962234957,39338.79730427759,353409978.14250857,95.43253440760459,595192931091.1589,4853986.4827623395
19,124200.91170072416,5.0,3235.1624269521963,0.0,35980970.452037916,108.77434222139453,586709190575.4401,7406798.865024277
