,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,149076.48223738885,6.0,2631.269205731136,48094.697761911935,615551091.0861232,87.98495348854729,458933153859.57965,6279826.633273728
7,2257243.3720530304,5.0,13671.085961618479,26442.690593247367,353411463.75892514,157.16149261861278,1624268582657.6396,43256407.25637347
19,1672744.6515933624,7.0,14718.238224580055,6307.101185182968,178141708.72375897,167.18167807763396,1273582387365.9304,49765292.74473952
