,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,161754.20019828223,9.0,7656.509046101939,57262.54827652116,1038618646.1023853,94.35359412663992,35637408138.63323,15144156.206852596
7,2465179.863212077,6.0,17034.627974192812,32321.374281491728,565369141.9987812,197.50905492968246,746885855820.4327,64119992.1487356
8,1861734.364461547,9.0,18540.38865370229,57124.16476503909,1036268821.1338239,168.27919020330322,451527001020.9608,67570487.87719034
9,3173146.2683951175,5.0,14867.942113629244,57262.54827652116,1038618646.1023853,180.06336025589815,972042616562.7377,54719197.18115772
12,2989544.2751858747,6.0,17450.108730201493,57262.54827652116,1038618646.1023853,179.15103899914772,981788746685.4775,58874502.5660371
19,1935955.213491922,8.0,18547.934807313417,15665.411239950845,206574822.02050233,194.9905445944634,462680414768.9639,71630547.33986503
