,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
3,96591.61721757855,26.0,8380.966742323886,50603.159120000004
8,252571.19714576192,22.0,6889.311278638621,50603.159120000004
9,545302.6369611667,20.0,5528.261844299732,46428.26500395354
11,309098.58504676516,20.0,5768.4552842233115,46428.26500395354
12,677256.955936259,17.0,4442.01578237914,46428.26500395354
13,175373.92228362398,24.0,7260.110747908577,46428.26500395354
15,211218.07326658134,24.0,7131.02945102294,50603.159120000004
