,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,691421.8031969846,6.0,5841.730445925034,13798.645103919982,151240901.31185833,114.93853958420524,122392433769.67674,12001499.10187749
9,1862364.0637687652,3.0,2024.3148021114248,10573.093507412894,183253621.65321255,102.94518534922484,362038360152.8584,6803240.121673676
12,1536815.7064190551,2.0,3387.015983798494,10573.093507412894,183253621.65321255,104.59020426517436,373199400417.14307,9707292.521294665
13,0.0,9.0,7089.575963079344,10573.093507412894,169627498.74909136,107.78689409333958,37918490961.03348,13332546.451950058
