,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,781488.9052187646,6.0,6780.965151612203,26176.155893187242,353435164.972758,116.50033672883862,133864349851.71397,11955278.927207967
9,1504689.9203282807,3.0,2114.563625870891,57931.38750147034,756538797.1985793,95.02436436377846,359851919914.4306,6398461.279973792
12,1654648.1270436305,2.0,3465.3916152633356,57931.38750147034,756538797.1985793,94.53499712478276,382953392253.2869,8940499.607213762
14,0.0,9.0,7716.36522248664,57931.38750147034,756538797.1985793,105.26604740172517,34216793896.66764,15389245.707803557
19,103017.62055673415,8.0,7547.007139611389,7203.206118092756,170208865.14342728,113.70299204797169,42133693342.8546,15170833.763914421
