,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,791434.467815272,0.0,575.4499877041108,27709.006462679834,353413249.5169313,94.8888935823037,775416268470.1521,8220411.761513619
8,161347.77148726187,6.0,2810.9991956732047,48951.749146042064,615355087.8360624,92.14561812532182,530761328624.0515,10303376.47041927
13,107217.52928351483,6.0,2678.156009972463,49070.26989587397,617003173.5653561,92.25715208183064,499377733712.01666,9623286.719506567
19,137381.76003082143,5.0,2724.534566884253,6710.621428485138,187163831.74108234,104.58621970770945,540841449360.90454,11351927.08031581
