,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,724641.2222699756,6.0,5715.057670369499,20424.053503694966,197401388.1554445,115.1095225751291,102895229543.1661,12194834.006288823
9,1592664.1095452637,3.0,1764.3279932332553,7279.586574021552,186629344.2090678,105.90529133044062,330997634005.3642,7021613.454103137
12,1612009.7533017618,2.0,3460.0093596604984,7279.586574021552,186629344.2090678,107.82603532863351,343033546058.16437,9773173.55384348
13,302430.22444122116,7.0,6159.432405718384,7279.586574021552,171099860.7507647,101.2190987763446,43800264135.59842,11915608.680853346
14,37086.42245058314,10.0,7385.737470303917,19685.645786817644,178629080.1601911,101.16122252693849,21311720542.885155,15762192.429866074
15,75662.56263827073,10.0,7385.737470303917,20424.053503694966,184546746.6029033,97.83428214277896,25559846164.00615,15187334.85610478
