,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
8,263107.72405522014,7.0,6625.3685475706225,22014.469567626,177089044.81163308,101.10506899811698,25981061577.394276,16672692.88123591
9,1768249.145150298,3.0,2011.5846637976465,0.0,186899939.83021235,105.68389755125838,281318205527.3965,9286114.543579696
11,389235.81128750846,6.0,6282.6552886504,15178.279712371303,130177117.89611669,104.16169171152217,34667216097.69772,15356627.436548566
12,1654068.7801131138,2.0,3781.547136127261,0.0,186899939.83021235,106.74921886921055,289098592615.12823,12354159.310493639
13,430125.22406934167,8.0,6148.713693794181,7228.417661734624,170756684.3222584,115.45524354957408,31992721811.042873,15363453.354752824
16,0.0,10.0,7720.893460396406,22014.469567626,177089044.81163308,90.9696340142829,9590310764.350964,19891310.333390143
