,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
8,181447.76765946543,10.0,7856.841409445689,18848.658691801036,237777216.047369,105.10277197466176,85099843739.66183,12474082.479988432
9,2000364.2431199292,3.0,1962.4281520045479,18848.658691801036,353375587.455717,108.91969669502535,483195605780.11755,6296363.260600826
12,1742153.7441749093,2.0,3327.668353913854,18848.658691801036,353375587.455717,106.9038658188762,491093161996.3948,8485866.812444685
13,261925.7265257811,8.0,6259.66130597188,18848.658691801036,353375587.455717,116.46206014710381,105757618059.72896,11083613.047065072
14,12430.852113658213,10.0,7856.841409445689,18848.658691801036,246934094.76395386,112.73547806518357,73340078106.81766,14274583.550649472
19,93743.29430638568,8.0,7731.932066348811,14898.553602091859,188846851.11351734,120.11385066486015,83898810395.10744,14209750.004645431
