,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,765984.1439936099,6.0,5952.138083141537,25345.681893858397,353366168.3508653,110.94077773303471,124676166466.96875,10930739.072386822
8,137110.99980209075,9.0,7307.72230144803,46641.059090548144,614664009.6658384,86.65377021126275,36348669267.9984,12892952.15407699
9,1526137.8180685453,3.0,2063.677639693218,46759.8735068844,616310220.3895385,91.32353677658965,337058061146.9584,5645709.266564701
12,1591382.1022646432,2.0,3607.7970250930266,46759.8735068844,616310220.3895385,92.31465653303033,363360584838.57574,8425743.229288107
14,0.0,9.0,7307.72230144803,46759.8735068844,616310220.3895385,99.96580040988977,31802426797.479984,14086979.039405504
19,90782.57636449713,8.0,7064.695233892613,7739.2750839783985,166589010.0017728,107.59869130822035,39303006737.131256,13890394.089902591
