,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
7,305452.49237709795,23.0,7361.056974206973,59744.69679933629
8,251933.8061857171,23.0,6855.78355538765,78849.7874518245
11,304088.4044502731,21.0,5720.35718548801,78956.38148742013
12,591011.2079018767,18.0,4905.716680233523,95074.02233283217
13,157676.61586229922,25.0,7337.391811368103,87728.37382700073
14,79266.08289098204,27.0,8472.818181267743,94510.21549365245
15,200705.91412514928,25.0,7155.4595519300965,88436.13450284717
19,121307.23063450454,26.0,8324.309195507978,49036.833999999995
