,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,815450.9194928105,6.0,5837.7079740145855,30801.97878141718,455551341.19459116,109.63269254369305,131933655073.69843,11671806.365749495
8,161522.42892063298,9.0,7587.592454595582,54145.3016081734,848360293.615795,82.67731075766358,35028886661.986176,13740346.69096449
9,1575644.0473714941,3.0,2011.9490562881983,54275.5422351129,850419125.6121023,99.07028153047494,291699376362.4892,7265097.375349587
12,1642671.1507456396,2.0,3362.272768107312,54275.5422351129,850419125.6121023,101.49308819145956,309147010713.38525,9728226.460112479
13,156909.98599450325,9.0,6715.058145904011,54275.5422351129,850419125.6121023,99.95415471519283,35476273866.37331,12973756.877140582
19,158657.77484567545,8.0,7519.453687029698,10068.300476725984,172696335.07846096,104.22466921308515,39083325787.830025,14839794.063146736
