,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
8,378896.09769201523,7.0,5548.83609365956,22061.41134355113,213338716.54624516,101.01437443136267,34297230865.76606,16155395.723371716
9,1523236.9875487566,3.0,2067.9512585577577,0.0,237804206.97805998,105.5445140901782,250583416355.0519,10167500.660759235
11,467946.2616698772,6.0,5301.4559417968485,14280.93206679602,171325700.30064872,104.0907348674182,41867185358.80827,14842273.545240687
12,1727943.5902273685,2.0,2911.1222399683284,0.0,237804206.97805998,106.49226458540177,255667629161.94464,12390210.230042214
13,516284.2676413152,7.0,5699.993459871481,6315.118413746968,220315248.40813446,115.25607103078897,39550601913.14061,15422888.288791819
14,0.0,10.0,7278.901966857442,21314.021530732243,205997174.82888207,90.3679020257018,11248173088.916857,19879794.652142823
15,335148.65627354453,8.0,6461.698954602494,22061.41134355113,213338716.54624516,103.9659376962928,26986656174.436028,18251279.136504274
