,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,732819.7430103377,6.0,6224.926622814517,15381.392612056894,150830339.18054232,114.98622030796648,116557289389.12076,11530094.378959058
9,1726076.6871579948,3.0,1905.50942508976,13229.065773885399,186569901.70713198,102.8928416558857,359573675935.1257,6462213.798590477
12,1624088.6695278136,2.0,3846.280572523854,13229.065773885399,186569901.70713198,104.69666658153973,377567043140.64374,9309616.228772609
13,0.0,9.0,7825.743624357532,13229.065773885399,171341574.0050132,107.6656263882225,37256414409.34239,13069809.506027853
