,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,69526.22322383922,9.0,7021.108031816471,17629.732050752304,167286517.95908916,107.60917184331804,38786764016.7538,14045438.46709249
7,2073715.6547896252,6.0,13367.035709542773,6920.407847986586,98449308.75298277,197.22797673704784,657854842259.5688,60808469.44955658
9,3138446.8116587396,5.0,11388.430680099396,17629.732050752304,187548268.47142878,170.94282701256643,1102556395844.4536,45785570.51206363
12,3022861.923500192,6.0,13576.879116989949,17629.732050752304,187548268.47142878,169.23619770572284,1177615655201.2322,51981564.839238845
