,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,733496.1148250774,2.0,2310.643509221107,27737.65938209124,353373812.43776417,104.61469594754024,627146954704.0497,11607633.468710115
8,257937.6666930539,3.0,2138.780418316499,48966.52025623023,615152972.2081865,104.47862726121602,472258354968.8631,12924531.809024876
11,376170.2428775795,3.0,2069.6648875452192,49084.96355455491,616799999.1214631,101.41689712092723,494482217480.3962,11883524.034334324
13,185226.48581415066,5.0,2446.1681085576056,58832.07275980314,758113914.8349609,93.90108510957481,439173683112.88995,11098596.14251863
16,0.0,6.0,3324.786994290367,66367.80110731756,872521743.7603253,100.93465319107632,391959324352.90063,14921989.844891014
19,97206.2235205404,5.0,3255.7185068552208,7205.568208323166,189143360.3997644,106.81361233538826,416836948940.43604,14799145.883777598
