,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,882437.8227578395,1.0,1229.227446652072,26727.59929004319,353401420.75294167,100.67824159915037,687663477256.7748,5745855.080055236
12,391956.7566248586,6.0,2934.274209247418,47972.910150326235,615042946.167705,81.79110709127517,438552012001.83594,6178046.080229345
13,229145.4862258383,5.0,2776.225054097911,47972.910150326235,615042946.167705,85.87027807231516,447600784414.0338,5367671.782649082
14,209071.40858438378,6.0,2934.274209247418,47972.910150326235,615042946.167705,101.61992875786191,438576982142.4577,7896175.753590324
19,274946.05769933853,5.0,2736.2493649023672,6869.3045143864365,183542495.00854662,106.01794970859389,467436079973.4863,7871436.500919913
