,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,701428.9929319605,6.0,5974.669990121249,14471.95206953305,150024919.37107122,114.96652275428923,121526723218.43378,11948861.691023642
9,1773959.6281657387,3.0,2083.1133476841314,11345.527475706731,182618381.60946697,102.89491337889284,370345759723.75793,6700870.775413688
12,1660622.9711330025,2.0,3653.0213693579008,11345.527475706731,182618381.60946697,104.76401788383583,381578561699.9436,9773648.356694726
13,0.0,9.0,7411.327533912045,11345.527475706731,168452607.42782122,107.60072660040656,37566248765.787735,13303129.082250405
