,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,0.0,10.0,6930.145220764789,47105.35033898577,844273049.7365555,91.32239138556683,19387916497.12449,16492042.877477217
7,835959.4778181964,6.0,5673.0902031480455,23732.213719350933,375936900.49109924,109.31078953689578,110278504811.97952,12764751.3292309
9,1369554.0833609512,3.0,2039.6164092591753,47105.35033898577,846566563.0989711,101.38813522994228,254464087259.83566,8178540.45128276
12,1555567.20238493,2.0,3260.0664282219223,47105.35033898577,846566563.0989711,104.27006900516909,272349254709.37708,10906011.878464293
13,280843.0127303931,8.0,5813.604720550633,47105.35033898577,846566563.0989711,93.15794337504462,40149071172.82831,12363638.454326387
15,95542.02017187543,10.0,6930.145220764789,47105.35033898577,844273049.7365555,88.08243154641791,23816258853.251213,15869225.892155694
19,153778.8583420787,8.0,6634.197337951857,4742.491529846404,200991081.82602772,101.14718794522365,26801059722.02267,16271340.595289182
