,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,147977.78864847845,6.0,3376.7354660468773,56581.04143230086,847278798.9657521,98.77596693461842,448899193687.6723,7757507.235900281
7,2760135.958740611,5.0,15070.033155694728,33287.291457101164,495572025.4712341,172.0942403395513,1730349626762.389,46894561.16480881
8,1848881.4162217826,7.0,16006.67359559134,56451.798481756676,845218200.7775578,163.847650235894,1289997198602.6404,51020421.462454565
19,1881567.2401800063,7.0,16006.67359559134,13261.20998603724,229298626.49527094,182.8910860458463,1318129519698.3298,53849787.716840185
