,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,1044553.6671315711,6.0,5102.068401375382,30638.28718652649,483100521.06604475,103.58333788945403,103852232402.4223,16869682.055804703
8,552233.4976868776,7.0,5656.323523784282,55364.11377747645,1031639836.8533353,91.20222462857447,39151653696.02776,17674914.694682743
11,668211.7226760697,6.0,4574.385735029318,55502.06788027074,1039323449.2962352,94.45472342042208,45162390658.00144,16435282.558623515
12,1614377.0520760224,1.0,1822.0677708091935,76361.53407427006,1405484667.4306922,99.88471114249646,184316459352.89404,15034961.259684015
13,520421.2288383179,7.0,5088.488414207053,66854.78875403239,1239439158.6860325,106.66950325704694,38077514298.57418,17064900.019080095
14,58311.15900490817,10.0,6430.07409734511,75631.8547238853,1392498057.6347458,78.50700053145107,9455669546.195631,21624829.73413615
15,355890.2144394978,8.0,5656.323523784282,67770.77329748147,1255325243.1865377,92.60034509278003,28846724419.11827,19725029.99934601
19,168513.90394560125,8.0,6187.354307759382,9751.390294397192,224244889.94782028,89.99814392900315,15447945023.883326,21448198.186502106
