,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
7,1157007.1659750128,13.0,2999.517001974191,28378.440176112876
8,1073737.763730914,13.0,2817.633356004757,46290.56784183566
11,1132735.7377390424,11.0,1742.1829209421667,46290.56784183566
13,1026292.7663906823,15.0,2960.4883855537482,46290.56784183566
14,953327.2949089743,17.0,4035.938820616342,46290.56784183566
