,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
3,274028.3587383295,20.0,5884.645705098925,46428.26500395354
7,1192553.4511993034,18.0,5210.177564563259,44847.17804
9,1431932.5590153418,16.0,3394.5657115689464,46428.26500395354
12,1582862.8398508576,13.0,2237.0648843642175,46428.26500395354
