,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,729140.161929355,2.0,2010.7416228998445,26584.55959406487,353350421.4419212,106.2564202522818,616955613586.3218,7604456.588785886
8,259581.87535675988,3.0,2004.0141925877833,47893.75877915051,615444767.2818354,101.42805163269867,445489252518.99396,8183111.478401043
11,342626.1941736981,3.0,1769.121990951735,48014.254318396575,617109287.0429949,98.82687252024604,463636660231.15656,7170625.92655206
13,226557.56846120232,4.0,1879.913609131927,57930.249536269184,758523644.4148414,94.83095038244772,396210339206.92084,6841689.831407581
16,60340.40194128151,6.0,3247.0152470956273,65596.54778774519,872074197.404471,100.03776156327383,373241577082.1027,9974780.365917344
19,157377.597983303,5.0,3083.0978782752936,6175.473531524622,190176880.83188546,105.73043399960301,395453833691.34045,9866493.859550651
