,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
7,450676.7381064752,17.0,5292.488811734704,57150.213922502146
9,775543.2853653078,15.0,3092.4916348342012,75425.6438148943
12,933705.9793899289,12.0,1853.9396993969385,75425.6438148943
13,231943.2899757069,21.0,6329.05000357658,75425.6438148943
19,279349.7623991604,20.0,6211.485283940479,47050.60098116
