,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
3,154729.11518104965,25.0,7506.190066416384,87728.37382700073
7,1037028.3347268827,23.0,6785.560577654058,59744.69679933629
8,975157.0688777352,23.0,6349.730884941286,78849.7874518245
9,1226572.803350432,21.0,5201.568907019457,87728.37382700073
11,932597.8010248672,23.0,6349.730884941286,78956.38148742013
12,1370228.4176369512,18.0,4096.341701491834,87728.37382700073
15,894127.4464284753,26.0,7056.025142262473,87728.37382700073
19,852883.0729842894,26.0,7748.812798955063,46547.45073946624
