,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,1257.3943214719184,6.0,2878.8235931400086,47887.39949634478,615142518.275149,104.41063520537499,478101524417.4927,13083300.888506014
7,787998.5868470019,1.0,1391.8940944463866,26373.929580081007,353387205.44753826,99.08540804058296,747900531722.2885,9674014.68701557
13,183892.69359468005,6.0,2677.1283536580595,47887.39949634478,615142518.275149,89.04385168793033,517816565011.81744,9600079.502612501
15,78478.21358114202,6.0,2878.8235931400086,47887.39949634478,615142518.275149,102.20312328315113,500049823576.48126,12572558.761805998
19,114713.61974637536,5.0,2719.947458962539,7165.006958685975,185499582.1077457,107.89121584363289,509427652683.00336,12959076.996031951
