,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,147741.32085190754,9.0,7148.770033203018,17241.065624685274,104082229.60118844,122.00984853508874,110898108101.64537,12446304.281763518
9,3190925.0345336264,5.0,12323.135783744616,3203.9715153182115,94862786.30893959,167.52923493300239,1366558692675.1572,41701066.71082382
11,1820373.158894694,8.0,14686.159948808297,17241.065624685274,101686398.48406003,197.2758044444743,638214469058.7264,60494861.56008875
12,3185983.5001848666,6.0,14377.36701715019,565.407860618543,82235147.07806125,162.915998006352,1420534620160.1777,47595110.190789364
15,1777239.8694808804,9.0,15255.531744056061,17241.065624685274,101686398.48406003,204.10523245491353,632080019446.1206,63049020.50291742
