,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,748794.411256803,2.0,2272.407521625595,0.0,36791982.88152609,109.11115496068699,632279937023.6206,7741073.100411982
8,320174.1199928699,3.0,1922.9690547421742,26475.944877319896,185174612.64036465,106.07276869734791,480608462798.5374,8441667.607447146
11,399320.1445535498,2.0,1418.5512770024761,26475.944877319896,185174612.64036465,102.86245057746102,495288084137.10394,7296499.263789953
13,193106.4922739938,4.0,2001.5803784889686,26475.944877319896,185174612.64036465,99.96216387385303,429648459762.80115,7102195.837770463
14,77889.50665972405,6.0,3601.0500445735343,26475.944877319896,185174612.64036465,105.91841046658197,393274880144.8108,10138463.441415118
