,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,144220.02164154226,9.0,7345.819199453781,25474.107635667984,327051672.343881,96.88467649072456,96121628187.82599,11044999.725590967
9,3322342.7125443527,5.0,11810.833932024867,25474.107635667984,353393334.7724118,157.06393759139766,1299028826559.4177,44233659.7126906
12,3217195.50768667,6.0,13647.901278867532,25474.107635667984,353393334.7724118,154.2143824306558,1344935121206.705,49613594.10277637
19,1725001.5010903722,8.0,14724.467780516115,7191.35701358848,149573375.55844128,184.13113568976544,574603358746.7223,65719415.59539208
