,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
3,216312.52269145593,21.0,6453.642436214657,75527.60888064088
7,420843.8952286866,17.0,5417.081244372781,57150.213922502146
8,233870.09446270167,21.0,6453.642436214657,75425.6438148943
9,762999.9062028041,15.0,3138.560268126712,75527.60888064088
12,929567.929441257,12.0,1864.8666546955974,75527.60888064088
19,249516.9195213718,20.0,6336.077716578557,46290.56784183566
