,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,796903.0820461966,6.0,5924.3163841077585,5853.5948087501965,101360304.42247815,122.04748653628438,123237276151.96143,13258725.53037918
9,1594494.1414284296,3.0,1991.3884184716262,16361.857399153,185320715.26312178,99.82373893594307,336231601477.99335,6935727.844355765
11,161683.7107674505,8.0,6231.70226088374,16361.857399153,167321858.0588039,107.52931166282006,37957097769.521866,15064850.87246773
12,1553129.2953206473,2.0,4215.748918522973,16361.857399153,185320715.26312178,98.94472234923555,371750135765.2006,9942867.952581054
14,6603.269143349666,9.0,7672.281168308222,16361.857399153,167321858.0588039,115.2770598747529,30250956134.51321,17061219.243583407
15,129607.27254318935,9.0,7274.059803664621,16361.857399153,167321858.0588039,113.58540748952234,38207020491.96173,16404722.30507402
