,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
3,79268.61316016677,27.0,8465.296316231455,94510.21549365245
7,306184.54525614943,23.0,7353.535109170685,59744.69679933629
8,251340.51551330983,23.0,6857.731674433089,78849.7874518245
11,304640.88435899257,21.0,5723.753213864973,78956.38148742013
12,592234.5020763677,18.0,4895.0252544584655,94510.21549365245
13,159229.8305705521,25.0,7331.317855663341,87728.37382700073
15,200777.8306851373,25.0,7153.73272325835,88436.13450284717
19,122039.28351355606,26.0,8316.78733047169,48451.172
