,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,0.0,6.0,3950.2632246409303,79480.86418548551,1158697480.5301983,100.31714248085193,331226696472.3009,15151564.499600738
7,920346.3304502631,2.0,2509.1011070680797,36990.02736062971,496498948.19012886,104.50522019641774,589457681905.9438,11797146.26555813
8,365031.1066528363,3.0,2598.5544261126306,60340.49989569574,846435376.6909885,104.40304648658464,427617095715.56244,12967529.84259499
11,409929.38522030646,3.0,2358.958867366873,60470.78041337828,848481835.2588178,101.32806548923628,440560585646.16895,12119934.18424987
13,215162.91286940407,5.0,2816.2173023269024,71192.01539356979,1021640121.6838049,93.97594009240672,383109413178.9987,11517131.996686552
19,136280.60710788495,5.0,3735.181585022805,12268.610955825672,234381392.2323046,106.71713033100608,361815722294.187,15027997.930635843
