,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
7,868651.0831466957,6.0,6423.876677408207,28154.27073494801,353422583.6154151,103.63601844427969,141870473515.81308,10305778.952268936
9,1501128.8996315177,3.0,2046.5213509742462,49555.84274653473,615506445.2262224,85.8045317318294,379791358872.8881,4909420.037497032
11,37581.88341983553,9.0,7609.425577601498,49555.84274653473,615506445.2262224,86.58920540453165,35880219462.417435,13119449.978759948
12,1619455.5377165927,2.0,3684.5378935987465,49555.84274653473,615506445.2262224,88.94820430634176,418061008949.2447,7499931.89250703
19,108299.7742742672,8.0,7408.035506339504,6353.71470829624,166832118.98086545,101.23932427476967,46845174074.233444,13402310.288766751
