,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
7,1057591.2256510966,14.0,3433.3366621688474,58540.93682620135
8,983697.4949326824,14.0,3124.3531522854173,77261.09049444436
11,1038733.8598306316,12.0,2030.716731228753,77365.53683090855
13,916498.3961218037,16.0,3416.570962246871,85960.787571172
14,841953.671389562,18.0,4510.207383303536,92605.98598779812
15,946446.5801688712,16.0,3346.350029674659,86654.28800271584
19,879391.625361483,17.0,4376.05558189457,46428.26500395354
