,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,166711.83635246148,6.0,3031.7677239902077,67396.08837884573,1025220881.2877264,94.88190134961346,402061976672.71985,7895474.511806274
7,2491267.107136508,5.0,14851.31039510131,34193.672990177816,496432325.94399333,167.59325088917578,1517969893303.8594,44960025.67843301
8,2134918.580568043,7.0,15301.52030482345,56861.71462226822,851623350.2384664,159.68696175310154,1203409727600.0134,47131585.60379157
11,2046877.93068094,7.0,15771.262759890222,56988.18761737541,853695693.7981237,169.10100773642853,1157325297358.2498,49296356.0664493
19,1836651.999645411,7.0,15439.619158999849,12937.045263099906,240325731.71089953,175.6438157319104,1142307761655.295,51598070.78485427
