,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
3,155576.4771821999,9.0,7275.007506872229,26554.75319696361,151859785.23252073,115.00985357994357,97850494086.83429,12048681.916308515
9,3147829.5066900365,5.0,11822.428971220059,7644.168861133439,140800924.4010935,171.3760057528114,1318778156876.123,45407280.67232854
12,3029991.6885438156,6.0,13584.438955884674,0.0,96874978.0934743,167.1093398303301,1360578408064.7993,51283414.66333953
13,1634306.8583669066,9.0,14264.279980194173,18534.439039392393,109004303.08788054,197.35279571128694,582859612828.807,60272883.31249779
