,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
3,842304.3510457843,18.0,4497.577316848168,92605.98598779812
7,1058739.6110938466,14.0,3420.70659571348,58540.93682620135
8,983310.0762417035,14.0,3123.4131902396057,77261.09049444436
11,1039610.1738243189,12.0,2030.9447851093973,77365.53683090855
13,918490.9339362015,16.0,3405.1089117179563,85960.787571172
15,946937.691402621,16.0,3339.8035188430295,86654.28800271584
19,880540.0108042335,17.0,4363.425515439203,46428.26500395354
