,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
8,183933.11898272246,10.0,6598.667197131159,17566.590003624617,237323570.81338432,105.14136218173141,82892017091.59744,12549167.593611762
9,1761539.0982827574,3.0,2086.4813364105576,17566.590003624617,353397357.0763169,108.93960766764401,462324086669.3478,6381807.903451617
12,1511114.4957594418,2.0,3593.1684728879736,17566.590003624617,353397357.0763169,106.77986667806128,474036267446.76483,8746869.740075372
13,270416.5988718611,8.0,6215.3125980370605,17566.590003624617,353397357.0763169,116.51861433943579,99760188360.47868,11345721.496044913
14,23286.60425936221,10.0,7191.254208921568,17566.590003624617,246630766.5304697,112.71990173317698,69268374593.21123,14361592.532029197
19,84550.40320759534,8.0,7187.982889959516,15142.389359799548,185726783.79523748,120.08082673081057,78845776550.47961,14375171.48544865
