,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
3,100479.10462886703,26.0,8293.661562379873,50603.159120000004
8,241484.82982478625,22.0,6919.497435771311,50603.159120000004
9,550183.6404536252,20.0,5436.130776215512,46428.26500395354
11,298405.3096176738,20.0,5823.252054152681,46428.26500395354
12,685074.1957619444,17.0,4331.075358916754,46428.26500395354
13,177059.4627034436,24.0,7197.416180761244,46428.26500395354
15,205390.62751228476,24.0,7132.62035586302,50603.159120000004
