,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
3,83732.26146458332,27.0,8636.389999999996,96194.25
8,205988.97729375004,31.0,16308.529999999995,79778.85
11,1071935.5061958334,23.0,5911.434999999996,79886.70000000001
12,462394.5292875,26.0,14885.564999999995,112159.5
13,821211.5457333333,27.0,7805.399999999996,88762.04999999999
14,84237.6106,27.0,8636.389999999996,95623.79999999999
15,141707.35042291664,33.0,16666.709999999995,89478.15
19,39110.20567708333,34.0,18045.589999999997,103207.04999999999
