,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
3,1109029.8011969747,12.0,1845.6902346844072,75425.6438148943
7,2018893.7860775555,10.0,1218.3019050096555,57150.213922502146
19,1847566.8103702406,13.0,2137.2983772154294,46290.56784183566
