pol_i,total_costs_regret,nr_uncovered_DPs_regret,total_uncovered_demand_regret,max_distr_time_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
11,1074155.5394651373,4.0,40881.97970556549,35915.01514614179,231110077.75192222,105.79569231195985,89758007437.65465,366402386.3512963
13,1095307.3117023774,4.0,39080.27956246005,36128.260984233275,240756590.25995398,127.41910435670236,80175877217.12825,348903442.3816462
14,200474.89225939906,8.0,12819.607106536008,20206.36874029941,159767846.7703356,74.10432551221349,3282765097.2914166,197434057.78615156
19,36794.12357017464,19.0,69823.81926016607,90306.03474915447,1345324606.6279697,42.066890802365926,373746646.85210365,1119190513.195072
