i,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
4.0,11683.90741333333,29.0,35875.149999999994,86683.2
11.0,221782.94279749997,17.0,11040.89999999999,35707.649999999994
13.0,191369.97661249997,18.0,12700.57999999999,35968.350000000006
14.0,29705.39170333333,21.0,14828.82999999999,20082.0
19.0,7952.041135416666,29.0,36041.17999999999,89733.75
