i,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
0.0,98348821.21921818,14.0,2677451.3454129566,5.358022104220185
10.0,94839851.42825699,14.0,2719612.504950206,6.772102577834877
11.0,146445829.16618901,13.0,2570653.729429248,8.128250978543578
14.0,144703318.1166592,13.0,2589942.0404545586,8.537674936322523
17.0,68370544.14330824,15.0,2817327.0145161967,4.397805202029773
