pol_i,max_distr_time_regret,nr_uncovered_DPs_regret,total_costs_regret,total_uncovered_demand_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
4,2.33847986757373,5.0,43694399.574935965,830253.884084631,14.53797362309835,44.09403357075218,6.426922700740529e+16,975709487296.9554
11,5.349072766341839,0.0,512965276.5894456,59031.86522295466,21.73963557263273,41.13969344645585,1.4515048820095738e+17,914326268095.6068
16,7.651271042260189,2.0,313897247.5947202,513203.77574277995,27.552397601239146,39.97281981942591,1.0844348006372798e+17,956869391953.7914
