i,total_costs,nr_uncovered_DPs,total_uncovered_demand,max_distr_time
0.0,176419869.7066217,11.0,1602499.8199768825,11.633119543552914
3.0,147217851.13117084,12.0,1551812.0508382113,5.37620853067241
5.0,207009866.01682812,11.0,1516371.8174213155,10.698270193585119
13.0,123874088.61822242,12.0,1618773.9548059062,3.8449568187158327
14.0,302159414.766316,11.0,1516246.7881682257,20.709420358672478
18.0,101416512.1884636,13.0,1764793.6468895962,2.181758237331814
