pol_i,max_distr_time_regret,nr_uncovered_DPs_regret,total_costs_regret,total_uncovered_demand_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
10,6.4196662314401225,5.0,82948959.74180746,1689161.215032746,39.91608386694403,48.940724563036284,5.132328608554339e+16,1198706442340.6587
14,0.8714623117768348,1.0,776695753.102765,193099.54379840195,19.731853500407222,67.67765038058751,2.033416170240426e+17,2416920112999.7715
15,4.237725949223684,3.0,788843829.66405,1333762.4396917159,18.415724945246257,62.1289877651231,1.8908464423537046e+17,2385813271001.123
