pol_i,max_distr_time_regret,nr_uncovered_DPs_regret,total_costs_regret,total_uncovered_demand_regret,max_distr_time_sigN,nr_uncovered_DPs_sigN,total_costs_sigN,total_uncovered_demand_sigN
1,1.9238661725101558,1.0,229102207.4413326,207512.02150610136,42.595983630745785,24.157232768485922,4.053967195840522e+16,337959477666.7063
13,0.0,4.0,438062554.2113445,1219798.041755893,39.81880811060878,47.590596261416444,8.200782331485304e+16,1284263769848.9329
18,3.921218483954579,8.0,0.0,1909892.2308815643,45.32455340589811,29.802725284692606,2.0576744115483668e+16,472182551951.732
